Game Name,Hours Played,Platforms
Viewfinder,0.0,epic
Wargame: Red Dragon,0.0,epic
"Warhammer 40,000: Gladius - Relics of War",0.0,steam
"Warhammer 40,000: Space Marine 2",2.1,steam
Warhammer: Vermintide 2,0.0,steam
Watch Dogs 2,0.0,"epic, xboxone"
We Were Here,3.9,steam
We Were Here Together,0.0,epic
We Were Here Too,1.4,steam
Weird West,0.0,"epic, xboxone"
Where Winds Meet,0.5,steam
Wild Country,0.0,gog
Wild Terra 2: New Lands,0.3,steam
Wildgate,0.0,epic
Wolfenstein: The New Order,1.1,"epic, gog, xboxone"
World War Z,0.0,"epic, xboxone"
World of Warships,0.0,epic
Worms Rumble,0.0,epic
Worms: Ultimate Mayhem,0.1,steam
XCOM 2,0.0,"epic, gog"
"Yes, Your Grace",0.0,gog
You Will Die Here Tonight,0.0,gog
Zero Hour,0.0,epic
Zombie Army 4 Dead War,0.0,"epic, xboxone"
Zuma Deluxe,0.0,steam
[REDACTED],1.0,epic
art of rally,0.0,epic
duplicate DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,0.7,steam
while True: learn(),0.0,epic
